No Urut;Nama Barang;Merk/Type;Kategori;Tahun Perolehan;Sumber Dana;Jumlah Unit; Harga Satuan Rp ; Nilai              Rp ;UE Thn;Tarif %; Akumulasi ; Nilai Buku Rp ; PJ ;;;
158;Stop Kontak;;Elektronik Multimedia;2007;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
159;Jack;Akai;Elektronik Multimedia;2007;YPM;2;;;4;;#REF!;#REF!; Pusat ;;;
160;Steker;Broco;Elektronik Multimedia;2007;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
161;Kabel ;Coaxial LG 6/5 Black;Elektronik Multimedia;2007;YPM;50;;;4;;#REF!;#REF!; Pusat ;;;
162;Brankas;Egma 801XD;Peralatan Lainnya;2007;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
163;Komputer;;Komputer;2007;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
164;Komputer;;Komputer;2007;YPM;2;;;4;;#REF!;#REF!; Pusat ;;;
165;Scaffolding/Hory Beam;SP39637;Peralatan Lainnya;2007;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
166;Alat Pel;KW 18 - 41 2 EA & KW 18 - 08 1 EA;Peralatan Lainnya;2007;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
167;Mesin Absen;Amano EX 3500 N;Elektronik Multimedia;2007;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
168;Kursi Sofa;;Furniture;2007;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
169;Kursi Kerja;;Furniture;2007;YPM;2;;;4;;#REF!;#REF!; Pusat ;;;
170;Monitor;"LG 15"" T 530 Semiflat";Komputer;2007;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
171;Camera CCTV & Perlengkapan;;Elektronik Multimedia;2008;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
172;Kursi Tamu;;Furniture;2008;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
173;Facsimile ;Panasonic KX-FT937;Elektronik Multimedia;2008;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
174;Mesin Pompa Celup 400 watt;;Peralatan Lainnya;2008;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
175;Printer untuk panitia pembangunan;Epson R 230;Komputer;2008;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
176;"TV 21""";Sanyo;Elektronik Multimedia;2008;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
177;Jenset;Yamashita LGX 7000/manual;Peralatan Lainnya;2008;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
